,type,name,url,poster,description,review,IMDB,contentRating,genre,datePublished,keywords,duration,actor,director,creator,RottenTomatoes Audience Score,RottenTomatoes Tomato Meter
0,Movie,65,https://www.imdb.comhttps://www.imdb.com/title/tt12261776/,https://m.media-amazon.com/images/M/MV5BNDgwNzc4MGYtOWMwMi00YjExLWIzMGEtMGQxMzA2NmExNzAxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,An astronaut crash lands on a mysterious planet only to discover he&apos;s not alone.,"{'author': 'talharaza4', 'dateCreated': '2023-03-06', 'inLanguage': 'English', 'heading': 'It was alright', 'reviewBody': 'The movie was alright. Graphics were good and acting was fine as well, but somehow I felt it didn&apos;t make the connection it supposed to. Too bland. The thrilling moment didn&apos;t make me sit in anticipation that what will happen. I usually like these kinds if movie, but this was just okay. It wasn&apos;t bad and most will enjoy it. Good movie for theatre. Whole family can go, but I felt something missing.\n\nActing was good by all.\n\nStory was simple and simply told Action was good Not that gripping.\n\nDuration was fine of the movie.\n\nI do recommended watching in the cinema. It is better enjoyed there. I guess I had more expectation from Sam Raimi film.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 6}}",2.7,13+,"['Action', 'Adventure', 'Drama']",2023-04-12,"gun,shot in the eye,suicide contemplation,astronaut,written by director",PT1H33M,"[{'name': 'Adam Driver', 'url': 'https://www.imdb.com/name/nm3485845/'}, {'name': 'Ariana Greenblatt', 'url': 'https://www.imdb.com/name/nm7567556/'}, {'name': 'Chloe Coleman', 'url': 'https://www.imdb.com/name/nm5668548/'}]","[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]","[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]",3.25,1.7
1,Movie,A Beautiful Life,https://www.imdb.comhttps://www.imdb.com/title/tt15282148/,https://m.media-amazon.com/images/M/MV5BMGUyYjQwMjAtZWYxOS00NzQzLTgwMjItZDk2YzJmOWQ3NTFmXkEyXkFqcGdeQXVyMTUyMzg5NzM2._V1_.jpg,"Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party.","{'author': 'mybeat', 'dateCreated': '2023-06-16', 'inLanguage': 'English', 'heading': 'Wanted to love it, but script blew it for me!', 'reviewBody': 'Trailer was amazing! Been listening to Christophers music for years and was surprised to see him playing the lead role in a movie. This could have been an amazing film..\n\nProduction quality is good, cinematography is good and the music is amazing...but the story and script are not well made.\n\nSomething is just off. Its too cliche and too much drama for nothing for example at the beginning. It just doesnt feel right and real. Just for the sake of drama the characters seem to say and do things to build tension. Feels to rushed. The romance happens way to fast - One minute she is pissed all the time and doesn&apos;t respect him at all, the next minute... Nothing is really authentic, except when he starts to sing! They tried to hard to put as much drama as possible into it. The only thing missing was a deadly illness...\n\nI really wanted to love the movie, to feel with the characters , but it was just average. A film for cozy sundays. Could have been so much more. The chemistry with the female lead role is also not believable enough for me.\n\nChristopher is a massive talent. The songs are great. Watch it if you like cliche easy flat movies and love this kind of music.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 5}}",3.2,TV-MA,"['Drama', 'Music', 'Romance']",2023-06-01,"performer,fisherman,song,life,manager",PT1H38M,"[{'name': 'Christopher', 'url': 'https://www.imdb.com/name/nm4968500/'}, {'name': 'Inga Ibsdotter Lilleaas', 'url': 'https://www.imdb.com/name/nm6635521/'}, {'name': 'Ardalan Esmaili', 'url': 'https://www.imdb.com/name/nm4224048/'}]","[{'name': 'Mehdi Avaz', 'url': 'https://www.imdb.com/name/nm6995804/'}]","[{'name': 'Stefan Jaworski', 'url': 'https://www.imdb.com/name/nm0419550/'}]",4.15,2.5
2,Movie,A Man Called Otto,https://www.imdb.comhttps://www.imdb.com/title/tt7405458/,https://m.media-amazon.com/images/M/MV5BNzg3OTEzMTgtYWU0OC00YTI0LWIxOTAtNmRkNTc0Nzg2YWU1XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,"Otto is a grump who&apos;s given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","{'author': 'eleisha_is_fullysik', 'dateCreated': '2023-01-06', 'inLanguage': 'English', 'heading': 'If you&apos;re thinking of watching, do it!', 'reviewBody': 'I went into this movie with little expectations, and came out with this added to one of my favourite films of all time. I felt every emotion during this experience. I couldn&apos;t picture anyone else play the character of Otto, Tom hanks absolutely nailed it in this. Along with the female lead, she was hilarious and had the whole cinema laughing at times!\n\nI will recommend this film for a long time. I go to the cinema once a week atleast and this has been the best watch in a very long time.\n\nDon&apos;t forget to bring your tissues. It&apos;ll have you on an emotional roller coaster but you won&apos;t want to get off.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 9}}",3.75,13+,"['Comedy', 'Drama']",2023-01-13,"remake,suicide attempt,grumpy old man,transgender,foreign language remake",PT2H6M,"[{'name': 'Tom Hanks', 'url': 'https://www.imdb.com/name/nm0000158/'}, {'name': 'Mariana Treviño', 'url': 'https://www.imdb.com/name/nm3901455/'}, {'name': 'Rachel Keller', 'url': 'https://www.imdb.com/name/nm5043859/'}]","[{'name': 'Marc Forster', 'url': 'https://www.imdb.com/name/nm0286975/'}]","[{'name': 'Fredrik Backman', 'url': 'https://www.imdb.com/name/nm7554519/'}, {'name': 'Hannes Holm', 'url': 'https://www.imdb.com/name/nm0391502/'}, {'name': 'David Magee', 'url': 'https://www.imdb.com/name/nm1341735/'}]",4.85,3.5
3,Movie,A Sunday Affair,https://www.imdb.comhttps://www.imdb.com/title/tt25830860/,https://m.media-amazon.com/images/M/MV5BZWU2MWJiZDUtMTgxNS00ZjI0LTkxMjAtMzU0OTM3ODU5NjEzXkEyXkFqcGdeQXVyODMwMzc1MjU@._V1_.jpg,"Two best friends, Uche and Toyin, fall in love with Sunday, a charming, yet flawed eligible bachelor. A love triangle ensues with the women unaware that they are dating the same man","{'author': None, 'dateCreated': None, 'inLanguage': None, 'heading': None, 'reviewBody': None, 'reviewRating': {'worstRating': None, 'bestRating': None, 'ratingValue': None}}",2.3,TV-MA,['Romance'],2023-02-14,"female nudity,female rear nudity",PT1H36M,"[{'name': 'Oris Erhuero', 'url': 'https://www.imdb.com/name/nm0258938/'}, {'name': 'Dakore Akande', 'url': 'https://www.imdb.com/name/nm2136707/'}, {'name': 'Moses Akerele', 'url': 'https://www.imdb.com/name/nm11023997/'}]","[{'name': 'Walter Taylaur', 'url': 'https://www.imdb.com/name/nm3954501/'}]","[{'name': 'Mo Abudu', 'url': 'https://www.imdb.com/name/nm5801801/'}, {'name': 'Darrel Bristow-Bovey', 'url': 'https://www.imdb.com/name/nm2476026/'}, {'name': 'Nnegest Likké', 'url': 'https://www.imdb.com/name/nm2104340/'}]",2.65,2.5
4,Movie,A Todas Partes,https://www.imdb.comhttps://www.imdb.com/title/tt12616964/,https://m.media-amazon.com/images/M/MV5BZTg1ZjIxNTQtMjM5Ny00OGEyLWI2OTgtOGEzYzVkMDk4ZGFhXkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_.jpg,An estranged brother and sister reunite at their father&apos;s funeral and make a spur of the moment decision to fulfill their childhood dream of driving across Mexico on their old motorbikes.,"{'author': None, 'dateCreated': None, 'inLanguage': None, 'heading': None, 'reviewBody': None, 'reviewRating': {'worstRating': None, 'bestRating': None, 'ratingValue': None}}",2.75,TV-MA,"['Adventure', 'Comedy', 'Drama']",2023-02-14,"remake,dramedy,motorcycle,road trip,childhood",PT1H37M,"[{'name': 'Ana Claudia Talancón', 'url': 'https://www.imdb.com/name/nm0847799/'}, {'name': 'Mauricio Ochmann', 'url': 'https://www.imdb.com/name/nm0643706/'}, {'name': 'David Chocarro', 'url': 'https://www.imdb.com/name/nm1867915/'}]","[{'name': 'Pitipol Ybarra', 'url': 'https://www.imdb.com/name/nm0950426/'}]","[{'name': 'Adriana Pelusi', 'url': 'https://www.imdb.com/name/nm5572916/'}]",0.0,0.0
5,Movie,A Tourist's Guide to Love,https://www.imdb.comhttps://www.imdb.com/title/tt20115096/,https://m.media-amazon.com/images/M/MV5BYTU5ZmUwYzEtMTUwMi00ZDg5LWE5ODktMDIyNDYxYzQ5ODQ2XkEyXkFqcGdeQXVyNjEwMDM4NTQ@._V1_.jpg,0,"{'author': 'nwauntie', 'dateCreated': '2023-04-23', 'inLanguage': 'English', 'heading': 'Beautiful scenery', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 8}}",2.85,TV-PG,"['Adventure', 'Comedy', 'Romance']",2023-04-21,"travel,love,tourist,romantic,exploration",PT1H34M,"[{'name': 'Rachael Leigh Cook', 'url': 'https://www.imdb.com/name/nm0000337/'}, {'name': 'Scott Ly', 'url': 'https://www.imdb.com/name/nm2263679/'}, {'name': 'Ben Feldman', 'url': 'https://www.imdb.com/name/nm1133651/'}]","[{'name': 'Steven K. Tsuchida', 'url': 'https://www.imdb.com/name/nm1286069/'}]","[{'name': 'Eirene Donohue', 'url': 'https://www.imdb.com/name/nm5149399/'}]",2.9,3.35
6,Movie,A través del mar,https://www.imdb.comhttps://www.imdb.com/title/tt21245882/,https://m.media-amazon.com/images/M/MV5BY2JhYTQ5ZmMtYjFjZC00MWZhLTg0ODAtNzQ1NWQwYmVjNGU0XkEyXkFqcGdeQXVyMTQyMDEwMjc3._V1_.jpg,Follows Raquel and Ares as they face challenges in the next chapter of their relationship and their individual lives.,"{'author': 'emily_nicholson', 'dateCreated': '2023-06-28', 'inLanguage': 'English', 'heading': 'Do not bother', 'reviewBody': 'This film is an utter mess from start to finish. It makes no sense. There are multiple plot lines that have no meaning or resolution which renders them completely pointless. I love a mindless rom-com as much as the next gal, but this is beyond the pale. Really enjoyed the first one, but whoever allowed this script to be developed needs sacking immediately. I have a degree in film and tv and I&apos;ve seen student films way better than this. After having worked in the industry for years I can tell you from experience t&apos;s not hard to make a basic coherent script. Child could do it. Honestly, make it into a drinking game how many times it fails to make sense and you&apos;ll get hammered.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 1}}",2.5,TV-MA,"['Comedy', 'Drama', 'Romance']",2023-06-23,"sequel,second part,wattpad,love,window",PT1H49M,"[{'name': 'Clara Galle', 'url': 'https://www.imdb.com/name/nm12494183/'}, {'name': 'Julio Peña', 'url': 'https://www.imdb.com/name/nm10207998/'}, {'name': 'Guillermo Lasheras', 'url': 'https://www.imdb.com/name/nm9616694/'}]","[{'name': 'Marçal Forés', 'url': 'https://www.imdb.com/name/nm2253409/'}]","[{'name': 'Ariana Godoy', 'url': 'https://www.imdb.com/name/nm12494185/'}, {'name': 'Eduard Sola', 'url': 'https://www.imdb.com/name/nm4485092/'}]",3.0,4.0
7,Movie,AKA,https://www.imdb.comhttps://www.imdb.com/title/tt27197387/,https://m.media-amazon.com/images/M/MV5BYTc0YjE3YjktNzQ0Yi00MTYyLTg3ZDMtNzJmN2QyNzgxNWRkXkEyXkFqcGdeQXVyMTI0MDEyNTQz._V1_.jpg,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss&apos;s young son.,"{'author': 'rashid-popal', 'dateCreated': '2023-04-30', 'inLanguage': 'English', 'heading': 'Action, drama, thriller with fantastic performances', 'reviewBody': 'The rating (6.7) doesn&apos;t justify this beautiful movie.\n\nTake Jason Bourne and John wick and add alot of emotions and drama and realness.\n\nThe action is very raw, the suspense keeps you on the edge from start to finish, some twists here and there and the performances are the real treat here.\n\nSpecially from the main character. How he is Introduced and where he gets at the end of movie is understandable. Unlike many big action/thriller (big budget) movies, you actually understand every characters decision making. Even those who don&apos;t get much time for character development.\n\nFor a Netflix movie, it can&apos;t get much better. We need more of this Netflix. Budget well spent.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 9}}",3.3,TV-MA,"['Action', 'Crime', 'Thriller']",2023-04-28,"spy action,investigation,spy thriller,one against many,undercover agent",PT2H2M,"[{'name': 'Alban Lenoir', 'url': 'https://www.imdb.com/name/nm1839955/'}, {'name': 'Eric Cantona', 'url': 'https://www.imdb.com/name/nm0134642/'}, {'name': 'Thibault de Montalembert', 'url': 'https://www.imdb.com/name/nm0598857/'}]","[{'name': 'Morgan S. Dalibert', 'url': 'https://www.imdb.com/name/nm1889990/'}]","[{'name': 'Morgan S. Dalibert', 'url': 'https://www.imdb.com/name/nm1889990/'}, {'name': 'Alban Lenoir', 'url': 'https://www.imdb.com/name/nm1839955/'}]",3.65,4.1
8,Movie,Aaahh Belinda,https://www.imdb.comhttps://www.imdb.com/title/tt20567314/,https://m.media-amazon.com/images/M/MV5BZTRhNTEyZTMtMTk0Ny00MmNlLTkzNWYtYWZiMWU4N2JlMjQ5XkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_.jpg,0,"{'author': 'canspage', 'dateCreated': '2023-04-10', 'inLanguage': 'English', 'heading': 'How to kill the spirit of a cult movie 101', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 2}}",2.65,TV-MA,"['Comedy', 'Drama']",2023-04-07,"reboot,young girl,young,love,shampoo",PT1H37M,"[{'name': 'Neslihan Atagül', 'url': 'https://www.imdb.com/name/nm3744351/'}, {'name': 'Serkan Çayoglu', 'url': 'https://www.imdb.com/name/nm6751009/'}, {'name': 'Necip Memili', 'url': 'https://www.imdb.com/name/nm3784534/'}]","[{'name': 'Deniz Yorulmazer', 'url': 'https://www.imdb.com/name/nm5519375/'}]","[{'name': 'Hakan Bonomo', 'url': 'https://www.imdb.com/name/nm6946032/'}]",0.0,0.0
9,Movie,Accused,https://www.imdb.comhttps://www.imdb.com/title/tt12648266/,https://m.media-amazon.com/images/M/MV5BN2E3ODllNmMtMzdkMS00OTI2LWE4YjYtZWZhN2YyZjhjYmM2XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,"After a revenge obsessed society incorrectly selects its next target, a young man must survive the night as the online witch-hunt arrives at his front door.","{'author': 'masonsaul', 'dateCreated': '2023-10-15', 'inLanguage': 'English', 'heading': 'Intense', 'reviewBody': 'Accused puts a very timely spin on the home invasion genre. Creating something of the moment that&apos;s terrifying because even its most ridiculous moments feel all too real. An intense look at the dangers of putting too much of your personal life online and how mob mentality has only gotten worse in a world of social media.\n\nIt&apos;s essentially a one man show Chaneil Kular who rises to the task flawlessly. It&apos;s briefly easy going for him in the earlier moments until he sees what&apos;s happening online and then spends the rest of the film in a palpable state of fear which only gets worse as people put words into action for the final stretch.\n\nPhilip Barantini is a master of suspense, there&apos;s never a break once things go wrong. The constant escalation is so good and the actual home invasion sequence feels like it goes on forever in the best way. The score by Aaron May and David Ridley further ratchets up the intensity with its oppressive nature.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 8}}",3.25,0,['Thriller'],2023-09-22,"london bombing,social media,social media attacks,social media frenzy,bombing",PT1H28M,"[{'name': 'Chaneil Kular', 'url': 'https://www.imdb.com/name/nm9894581/'}, {'name': 'Nitin Ganatra', 'url': 'https://www.imdb.com/name/nm0304092/'}, {'name': 'Frances Tomelty', 'url': 'https://www.imdb.com/name/nm0866626/'}]","[{'name': 'Philip Barantini', 'url': 'https://www.imdb.com/name/nm0053028/'}]","[{'name': 'Barnaby Boulton', 'url': 'https://www.imdb.com/name/nm7179586/'}, {'name': 'James Cummings', 'url': 'https://www.imdb.com/name/nm8983821/'}]",0.0,5.0
